
Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
69 Tm 154   0+x   3.30 s    (9+)      +5.91(5)      LRIS         2000Ba16            PR C61 034304 (00)

69 Tm 156   0     1.40 m    2-        +0.40(3)      LRIMS        1987AlZb            LIYAF 1309 (1987)

69 Tm 157   0     3.63 m    1/2+      +0.476(15)    LRIMS        1988Al04            NP A477 37 (88)

69 Tm 158   0     3.98 m    2-        +0.04(2)      LRIMS        1988Al04            NP A477 37 (88)

69 Tm 159   0     9.13 m    5/2+      +3.42(3)      LRIMS        1988Al04            NP A477 37 (88)

69 Tm 160   0     9.4 m     1-        +0.16(2)      LRIMS        1988Al04            NP A477 37 (88)

69 Tm 161   0     30.2 m    7/2+      +2.40(2)      LRIMS        1988Al04            NP A477 37 (88)

69 Tm 162   0     21.7 m    1-        +0.068(8)     LRIMS        1988Al04            NP A477 37 (88)

69 Tm 163   0     1.81 h    1/2+      -0.082(1)     LRIMS        1988Al04            NP A477 37 (88)

69 Tm 164   0     2.0 m     1+        +2.37(3)      LRIMS        1988Al04            NP A477 37 (88)

69 Tm 165   0     30.06 h   1/2+      -0.139(2)     LRIMS        1988Al04            NP A477 37 (88)

69 Tm 166   0     7.70 h    2+        +0.0926(7)    LRIMS        1988Al04            NP A477 37 (88)

69 Tm 167   0     9.25 d    1/2+      -0.197(2)     LRIMS        1988Al04            NP A477 37 (88)

69 Tm 168   0     93.1 d    3+        +0.227(11)    LRIMS        1988Al04            NP A477 37 (88)

69 Tm 169   0     stable    1/2+      -0.2310(15)   AB           1967Gi04            ZP 199 244 (67)

69 Tm 170   0     128.6 d   1-        +0.247(4)     LRIMS        1988Al04            NP A477 37 (88)

69 Tm 171   0     1.92 y    1/2+      -0.230(4)     LRIMS        1988Al04            NP A477 37 (88)

70 Yb 155   0     1.79 s    (7/2-)    -0.91(2)      LRIS         1998Ba08            EurPJ A1 3 (98)

70 Yb 157   0     38.6 s    7/2-      -0.637(8)     CFBLS        1992Ku21            HFI 74 171 (92)




33
70 Yb 159   0       1.67 m        5/2(-)   -0.365(8)     CFBLS        1983Ne13   HFI 15 181 (83)

70 Yb 161   0       4.2 m         3/2-     -0.326(8)     CFBLS        1983Ne13   HFI 15 181 (83)

70 Yb 163   0       11.0 m        3/2-     -0.373(8)     CFBLS        1983Ne13   HFI 15 181 (83)

70 Yb 165   0       9.9 m         5/2-     +0.477(8)     CFBLS        1983Ne13   HFI 15 181 (83)

70 Yb 167   0       17.5 m        5/2-     +0.621(8)     CFBLS        1983Ne13   HFI 15 181 (83)

70 Yb 169   0       32.0 d        7/2+     -0.633(8)     CFBLS        1983Ne13   HFI 15 181 (83)
70 Yb 169   24      46 s          1/2-     +0.506(8)     CFBLS        1983Ne13   HFI 15 181 (83)

70 Yb 171   0       stable        1/2-     +0.4923(4)    OP/RD        1972Ol01   ZP 249 205 (72)

70 Yb 173   0       stable        5/2-     -0.6780(6)    OP/RD        1972Ol01   ZP 249 205 (72)

70 Yb 175   0       4.18 d        7/2-     0.766(8)      CFBLS        1992Ku21   HFI 74 171 (92)

70 Yb 176   1050    11.4 s        8-       -0.151(15)    CLS          2007BI14   PL B645 330 (07)

70 Yb 177   0       1.91 h        9/2+     -0.695(15)    CLS          2012Fl05   JP G39 125101 (2012)
70 Yb 177   332     6.41 s        1/2-     +0.151(15)    CLS          2012Fl05   JP G39 125101 (2012)

71 Lu 161   0       77 s          1/2(+)   +0.222(3)     CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 162   0       1.37 m        1-       +0.0551(11)   CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 163   0       238 s         1/2(+)   +0.0767(10)   CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 164   0       3.14 m        1(-)     +0.0589(11)   CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 165   0       10.74 m       1/2+     -0.0244(3)    CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 166   0       2.65 m        6-       +2.903(12)    CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 166   34      1.41 m        3(-)     +0.188(5)     CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 167   0       51.5 m        7/2+     +2.318(4)     CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 167   0+x     >60 s         1/2+     -0.0996(13)   CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 168   0       5.5 m         6(-)     +3.007(25)    CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 168   203     6.7 m         3+       +1.217(5)     CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 169   0       34.1 h        7/2+     2.288(4)      CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 169   29      160 s         1/2-     0.536(7)      CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 171   0       8.24 d        7/2+     +2.286(4)     CFBLS        1998Ge13   PR C54 1027 (96)
71 Lu 171   71      79 s          1/2-     +0.583(7)     CFBLS        1998Ge13
EurPJ A3 225 (98)
71 Lu 172   0       6.70 d        4-       +2.891(10)    CFBLS        1998Ge13   PR C54 1027 (96)
71 Lu 172   42      3.7 m         1-       +1.97(4)      CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 173   0       1.37 y        7/2+     +2.273(2)     CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 174   0       3.31 y        1-       +1.982(5)     CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 174   171     142 d         6-       +1.487(16)    CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 175   0       stable        7/2+     +2.2257(19)   AB           1985Br09   NP A440 407 (85)

71 Lu 176   0       3.76x1010 y   7-       +3.160(5)     AB           1985Br09   NP A440 407 (85)
71 Lu 176   123     3.66 h        1-       +0.318(3)     CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 177   0       6.65 d        7/2+     +2.2315(14)   CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 177   970     160 d         23/2-    +2.301(11)    CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 178   0       28.4 m        1(+)     -1.373(9)     CFBLS        1998Ge13   EurPJ A3 225 (98)
71 Lu 178   123.8   23.1 m        (9-)     +4.819(9)     CFBLS        1998Ge13   EurPJ A3 225 (98)

71 Lu 179   0       4.59 h        7/2+     +2.368(12)    CFBLS        1998Ge13   EurPJ A3 225 (98)



34
72 Hf 171   0      12.1 h        7/2(+)   -0.674(12)      CFBLS        2000Ye02            JP G26 839 (00)
72 Hf 171   22     29.5 s        1/2(-)   +0.526(16)      CFBLS        2000Ye02            JP G26 839 (00)

72 Hf 173   0      23.6 h        1/2-     +0.502(7)       CFBLS        1999Le11            PRL 82 2476 (99)

72 Hf 175   0      70 d          5/2(-)   -0.677(9)       LRS          2002Ni12            PRL 88 094801 (02)

72 Hf 177   0      stable        7/2-     +0.7910(9)      AB           1973Bu07/1973Bu25   PL 43B 479 (73)/ZP 260 157 (73)

72 Hf 178   1147   4.0 s         8-       +3.09(1)        CLS          2007BI14            PL B645 330 (07)
72 Hf 178   2446   31 y          16+      +8.13(4)        CFBLS        1994Bo15            PRL 72 2689 (94)

72 Hf 179   0      stable        9/2+     -0.6389(14)     AB           1973Bu25            PL 43B 479 (73)/ZP 260 157 (73)
72 Hf 179   1106   25.1 d        25/2-    7.4(3)          NO/S         1975Hu15            PR C12 2013 (75)

72 Hf 180   1142   5.53 h        8-       +8.7(10)        ME           1971Ko29            PRL 27 1593 (71)

73 Ta 173   0      3.14 h        5/2-     1.70(3)         NMR/ON       1991Ko25            NP A534 344 (91)

73 Ta 175   0      10.5 h        7/2+     2.27(5)         NMR/ON       1984Oh07            JPJa 53 2479 (84)

73 Ta 177   0      56.6 h        7/2+     2.25(5)         NMR/ON       1984Oh07            JPJa 53 2479 (84)

73 Ta 178   0+x    9.3 m         (1+)     2.740(12)       NMR/ON       1987Ni05            JPJa 56 492 (87)

73 Ta 179   0      1.82 y        7/2+     +2.286(6)       LRS          1996Wa02            PR C53 611 (96)

73 Ta 180   75     >7.1x1015 y   9-       +4.814(12)      LRS          1994Wa34            PR A50 4639 (94)

73 Ta 181   0      stable        7/2+     +2.365(4)       N            1973Er17/1960Be23   JCP 59 3911 (73)/PR 120 1812 (60)

73 Ta 182   0      115 d         3-       3.02(3)         NMR/ON       1980Al27            HFI 8 229 (80)

73 Ta 183   0      5.1 d         7/2+     (+)2.36(3)      NMR/ON       1984Ed01/1980Al27   NP A413 247 (84)/HFI 8 229 (80)

74 W 183    0      >6.7x1020 y   1/2-     +0.11739(11)    N            1974Sa25            ZNat 29a 1763 (74)

74 W 185    0      75.1 d        3/2-     +0.543(14)      NMR/ON       2004Oh16            Hyp Int 159 277 (2004)

74 W 187    0      24.0 h        3/2-     0.621(15)       NMR/ON       1987Oh10            HFI 36 219 (87)

75 Re 179   0      19.5 m        (5/2)+   2.8(4)          NO/S         1992Bo39            HFI 75 307 (92)

75 Re 180   0      2.46 m        (1)-     1.6(2)          NO/S         1992Bo39            HFI 75 307 (92)

75 Re 181   0      19.9 h        5/2+     3.19(7)         NMR/ON       1981Ha22            NP A363 269 (81)

75 Re 182   0      64.2 h        7+       2.84(6)         NMR/ON       1981Ha22            NP A363 269 (81)
75 Re 182   0+x    14.1 h        2+       3.26(10)        NMR/ON       1987Oh10            HFI 36 219 (87)

75 Re 183   0      70.0 d        5/2+     3.158(15)       NMR/ON       1987Oh10            HFI 36 219 (87)

75 Re 184   0      35.4 d        3-       (+)2.53(5)      NMR/ON       1981Ha22            NP A363 269 (81)
75 Re 184   188    169 d         8(+)     (+)2.88(10)     NO/S         1973Hu06/1973Kr01   NP A210 317 (73)/PR C7 263 (73)

75 Re 185   0      stable        5/2+     +3.176(3)       N            1951Al11            PR 82 105 (51)

75 Re 186   0      3.72 d        1-       +1.734(3)       AB/D         1965Ar01            PR 138 B310 (65)

75 Re 187   0      4.3x1010 y    5/2+     +3.209(3)       N            1951Al11            PR 82 105 (51)

75 Re 188   0      17.0 h        1-       +1.783(5)       AB/D         1965Ar01            PR 138 B310 (65)

76 Os 183   0      13.0 h        9/2+     (-)0.794(14)    NMR/ON       1980Ha24            ZP A295 345 (80)

76 Os 187   0      stable        1/2-     +0.06442(7)     N            1968Sc03            PL 26A 258 (68)

76 Os 189   0      stable        3/2-     +0.6576(7)      N            1968Sc03            PL 26A 258 (68)
"76 Os 189   1705   9.9 m         (10)-    -0.56(+8,-12)   RENO         1987Be54            PRL 59 2923 (87)"



35
76 Os 191   0     15.4 d    9/2-      +0.96(3)       NMR/ON(b)      1996Oh03            PR C54 1129 (96)

76 Os 193   0     30.1 h    3/2-      +0.730(2)      NMR/ON         1989Ed01            PR C40 2246 (89)

77 Ir 180   0     1.5 m     (5+)      (+)2.5(2)      NO/S           1992Bo39            HFI 75 307 (92)

77 Ir 182   0     15.0 m    3+        +2.6(2)        LS             2006Ve10            Eur Phys J A30 489 (06)

77 Ir 183   0     58 m      5/2-      +2.39(8)       LS             2006Ve10            Eur Phys J A30 489 (06)

77 Ir 184   0     3.09 h    5-        0.693(5)       NMR-ON         1988Oh02            JP G14 365 (88)

77 Ir 185   0     14.4 h    5/2-      2.596(13)      NMR/ON         1988Oh02            JP G14 365 (88)

"77 Ir 186   0     16.64 h   5+        3.80(+12,-2)   NMR/ON         1980Ha49            ZP A297 329 (80)"
77 Ir 186   0+x   1.90 h    2-        0.638(8)       NMR/ON         1990Ed01            HFI 59 83 (90)

77 Ir 187   0     10.5 h    3/2+      +0.17(1)       LS             2006Ve10            Eur Phys J A30 489 (06)

"77 Ir 188   0     41.5 h    1-        0.302(10)      NMR/ON, NO/S   1985Ed02            PR C32 582 (85)"

77 Ir 189   0     13.2 d    3/2+      +0.147(7)      LS             2006Ve10            Eur Phys J A30 489 (06)

77 Ir 190   0     11.8 d    4-        0.04(1)        NO/S           1983Al15            JP G9 1125 (83)

77 Ir 191   0     stable    3/2+      +0.1502(6)     AB             1984Bu15            PL 140B 17 (84)
77 Ir 191   171   4.90 s    11/2-     +6.03(4)       NMR/ON         1971Es03/1974Kr06   PL 36B 328 (71)/PR C9 2063 (74)

77 Ir 192   0     73.8 d    4+        +1.917(10)     NMR/ON         1980Ha25            ZP A295 385 (80)

77 Ir 193   0     stable    3/2+      +0.1630(6)     AB             1984Bu15            PL 140B 17 (84)

77 Ir 194   0     19.3 h    1-        +0.39(1)       NMR/ON         1982Ha28            ZP A306 73 (82)

78 Pt 179   0     21.2 s    1/2-      +0.43(3)       LRIMS          1999Le52            PR C60 054310 (99)

78 Pt 181   0     52 s      1/2-      +0.48(2)       LRIMS          1999Le52            PR C60 054310 (99)

78 Pt 183   0     6.5 m     1/2-      +0.500(5)      LRIMS          1999Le52            PR C60 054310 (99)
78 Pt 183   35    43 s      7/2-      +0.779(14)     LRIMS          1999Le52            PR C60 054310 (99)

78 Pt 185   0     70.9 m    9/2+      -0.720(11)     LRIMS          1999Le52            PR C60 054310 (99)
78 Pt 185   103   33 m      1/2-      +0.501(5)      LRIMS          1999Le52            PR C60 054310 (99)

78 Pt 187   0     2.35 h    3/2-      -0.397(8)      LRIMS          2000SaZQ/1989Du01   IPNO-DR 00-04/PL 217 401 (89)

78 Pt 189   0     10.9 h    3/2-      -0.438(8)      LRIMS          1992Hi07            ZP A342 1 (92)

78 Pt 191   0     2.83 d    3/2-      -0.499(5)      LRIMS          1989Du01            PL 217 401 (89)

78 Pt 193   0     50 y      1/2-      +0.601(8)      LRIMS          1992Hi07            ZP A342 1 (92)
78 Pt 193   150   4.3 d     13/2+     (-)0.753(15)   NMR/ON(X)      1986Sc04            PRL 56 1051 (86)

78 Pt 195   0     stable    1/2-      +0.6073(7)     N              1951Pr02            PR 81 20 (51)

78 Pt 197   0     19.9 h    1/2-      0.51(2)        AB             1976Fu06            JPCR 5 835 (76)

78 Pt 199   0     30.8 m    5/2-      +0.75(8)       LIS            2017Hi05            PR C96 014307 (2017)
78 Pt 199   424   13.6 s    (13/2)+   -0.57(5)       LIS            2017Hi05            PR C96 014307 (2017)

79 Au 177   0     1.46 s    1/2+      1.15(5)        LRIS           2018Cu04            PL B786 355 (2018)

79 Au 179   0     7.1 s     1/2+      1.01(5)        LRIS           2018Cu04            PL B786 355 (2018)

79 Au 182   0     15.5 s    (2+)      1.30(10)       TR/OLNO        1992Ro21            HFI 75 457 (92)

79 Au 183   0     42.8 s    (5/2)-    +1.96(2)       LRIMS          1988Kr18            ZP A331 521 (88)

79 Au 184   0     20.6 s    5+        +2.06(2)       LRIS           1997Le22            PRL 79 2213 (97)



36
79 Au 184           68    47.6 s    2+       +1.43(2)      LRIS         1997Le22            PRL 79 2213 (97)

79 Au 185   0     4.25 m    5/2-     +2.16(2)      LRIMS        1989Wa11/1987Wa06   NP A493 224 (89)/PRL 58 1516 (87)

79 Au 186   0     10.7 m    3-       -1.26(3)      LRIMS        1989Wa11/1987Wa06   NP A493 224 (89)/PRL 58 1516 (87)

79 Au 187   0     8.4 m     1/2+     +0.533(15)    LRIMS        1989Wa11/1987Wa06   NP A493 224 (89)/PRL 58 1516 (87)

79 Au 188   0     8.84 m    1(-)     -0.07(3)      LRIMS        1989Wa11/1987Wa06   NP A493 224 (89)/PRL 58 1516 (87)

79 Au 189   0     28.7 m    1/2+     +0.492(14)    LRIMS        1989Wa11/1987Wa06   NP A493 224 (89)/PRL 58 1516 (87)
79 Au 189   247   4.6 m     11/2-    +6.17(2)      LRIMS        1989Wa11/1987Wa06   NP A493 224 (89)/PRL 58 1516 (87)

79 Au 190   0     42.8 m    1-       -0.065(7)     LRIMS        1990Sa21            NP A512 241 (90)

79 Au 191   0     3.18 h    3/2+     +0.1364(9)    LRIMS        1994Pa37            NP A580 173 (94)
79 Au 191   266   0.92 s    11/2-    6.6(6)        NO/S         1985Va07            HFI 22 507 (85)

79 Au 192   0     4.94 h    1-       -0.0107(15)   LRIMS        1994Pa37            NP A580 173 (94)

79 Au 193   0     17.65 h   3/2+     +0.1391(5)    LRIMS        1994Pa37            NP A580 173 (94)
79 Au 193   290   3.9 s     11/2-    6.16(9)       NMR/ON       1983Ha10            NP A399 83 (83)

79 Au 194   0     38.0 h    1-       +0.0760(13)   LRIMS        1994Pa37            NP A580 173 (94)

79 Au 195   0     186 d     3/2+     0.1481(6)     NMR/ON       1993Hi10            NP A562 205 (93)
79 Au 195   319   30.5 s    11/2-    6.16(9)       NMR/ON       1981Ha27            PR C24 631 (81)

79 Au 196   0     6.17 d    2-       0.5883(5)     NMR/ON       1987Oh11            PR C36 2072 (87)
79 Au 196   596   9.6 h     12-      5.70(8)       NMR/ON       1982Ha04            NP A373 256 (82)

79 Au 197   0     stable    3/2+     +0.1452(2)    AB           1967Da04            ZP A200 456 (67)
79 Au 197   409   7.73 s    11/2-    (+)5.96(9)    NMR/ON       1984Ha12            NP A417 88 (84)

79 Au 198   0     2.694 d   2-       +0.5911(8)    AB           1967Va16            PR 158 1078 (67)
79 Au 198   812   2.27 d    (12-)    (+)5.83(9)    NMR/ON       1984Ha12            NP A417 88 (84)

79 Au 199   0     3.14 d    3/2+     +0.2705(8)    AB           1967Va16            PR 158 1078 (67)

79 Au 200   962   18.7 h    12-      5.88(9)       NMR/ON       1984Ha45            PR C30 1675 (84)

80 Hg 177   0     118 ms    (7/2-)   -1.02(5)      LRIS         2019Se04            PR C99 044306 (2019)

80 Hg 179    0     1.05 s    (7/2-)   -0.94(2)      LRIS         2019Se04            PR C99 044306 (2019)

80 Hg 181   0     3.6 s     1/2-     +0.5051(7)    NMR/OP(b)    1976Bo09            ZP A276 203 (76)

80 Hg 183   0     9.4 s     1/2-     +0.522(5)     NMR/OP(b)    1976Bo09            ZP A276 203 (76)

80 Hg 185   0     49.1 s    1/2-     +0.505(4)     NMR/OP(b)    1986Ul02            ZP A325 247 (86)
80 Hg 185   99    21.6 s    13/2+    -1.013(9)     CLS          1986Ul02            ZP A325 247 (86)

80 Hg 187   0     1.9 m     3/2-     -0.591(4)     NMR/OP(b)    1986Ul02            ZP A325 247 (86)
80 Hg 187   0+x   2.4 m     13/2+    -1.040(11)    CLS          1979Da06            PL 82B 199 (79)

80 Hg 189   0     7.6 m     3/2-     -0.6062(10)   NMR/OP(b)    1986Ul02            ZP A325 247 (86)
80 Hg 189   0+x   8.6 m     13/2+    -1.054(6)     CLS          1979Da06            PL 82B 199 (79)

80 Hg 191   0     49 m      3/2-     -0.616(11)    NMR/OP(b)    1986Ul02            ZP A325 247 (86)
80 Hg 191   0+x   50.8 m    13/2+    -1.064(5)     CLS          1979Da06            PL 82B 199 (79)

80 Hg 193   0     3.80 h    3/2-     -0.6251(8)    NMR/OP       1971Mo24            PR C4 620 (71)
80 Hg 193   141   11.8 h    13/2+    -1.0543(12)   NMR/OP       1973Re04            PR C7 2065 (73)

80 Hg 195   0     10.5 h    1/2-     +0.5393(6)    NMR/OP       1973Re04            PR C7 2065 (73)
80 Hg 195   176   41.6 h    13/2+    -1.0405(12)   NMR/OP       1973Re04            PR C7 2065 (73)

80 Hg 197   0     64.1 h    1/2-     +0.5253(6)    NMR/OP       1973Re04            PR C7 2065 (73)
80 Hg 197   299   23.8 h    13/2+    -1.0236(12)   NMR/OP       1973Re04            PR C7 2065 (73)




37
80 Hg 199   0         stable   1/2-     +0.5039(6)    NMR/OP       1961Ca21            AnP 6 467 (61)
80 Hg 199   532       42.7 m   13/2+    -1.0107(12)   NMR/OP(b)    1973Re04            PR C7 2065 (73)

80 Hg 201   0         stable   3/2-     -0.5580(7)    NMR/OP       1973Re04            PR C7 2065 (73)

80 Hg 203   0         46.6 d   5/2-     +0.8456(10)   NMR/OP(b)    1970Ki05/1964Re03   PL 31B 567 (70)/PL 8 257 (64)

80 Hg 205   0         5.14 m   1/2-     +0.5985(7)    NMR/OP(b)    1975Ro10            ZP A272 369 (75)

81 Tl 179   0         0.23 s   1/2+     1.631(16)     ISLS         2017Ba04            PR C95 014324 (2017)

81 Tl 180   (0)       1.09 s   (4)      -0.56(2)      ISLS         2017Ba04            PR C95 014324 (2017)

81 Tl 181   0         3.2 s    1/2+     1.632(14)     ISLS         2017Ba04            PR C95 014324 (2017)

81 Tl 182   (0)       3.1 s    (7+)     0.54(10)      ISLS         2017Ba04            PR C95 014324 (2017)
81 Tl 183    -    ? ?              (4)      -0.55(3)      ISLS         2017Ba04            PR C95 014324 (2017)

81 Tl 183   0         6.9 s    1/2+     1.597(8)      ISLS         2017Ba04            PR C95 014324 (2017)
81 Tl 183     -         53 ms    (9/2-)   3.61(6)       ISLS         2017Ba04            PR C95 014324 (2017)

81 Tl 184   0+y       N M        (2-)     0.32(4)       ISLS         2017Ba04            PR C95 014324 (2017)
81 Tl 184  0+x       ? ?      (7+)     0.43(2)       ISLS         2017Ba04            PR C95 014324 (2017)
81 Tl 184  500+x   ? ?      (10-)    2.77(8)       ISLS         2017Ba04            PR C95 014324 (2017)

81 Tl 185   0         19.5 s   (1/2+)   1.60(4)       ISLS         2013Ba41            PR C88 024315 (2013)
81 Tl 185   455       1.93 s   (9/2-)   3.8(2)        ISLS         2013Ba41            PR C88 024315 (2013)

81 Tl 186   374+x   2.9 s    (10-)    2.56(6)       ISLS         2013Ba41            PR C88 024315 (2013)

81 Tl 187   0         ~51 s    (1/2+)   1.54(6)       CFBLS        1992Sc25            HFI 74 13 (92)
81 Tl 187   334       15.6 s   (9/2-)   +3.71(2)      RIS          2012Ba32            PR C86 014311 (12)

81 Tl 188   0+x       71 s     7+       +0.481(8)     CFBLS        1992Me07            ZP A341 475 (92)

81 Tl 189   281       1.4 m    9/2-     +3.76(2)      RIS          2012Ba32            PR C86 014311 (12)

81 Tl 190   0+x       2.6 m    2(-)     +0.253(2)     CFBLS        1992Me07            ZP A341 475 (92)
81 Tl 190   0+y       3.7 m    7(+)     +0.493(4)     CFBLS        1987Bo44            PR C36 2560 (87)

81 Tl 191   0         N M         1/2+     +1.582(4)     CFBLS        1992Me07            ZP A341 475 (92)
81 Tl 191  299       5.2 m    9/2-     +3.78(2)      RIS          2012Ba32            PR C86 014311 (12)

81 Tl 192   0         9.6 m    2-       +0.199(3)     CFBLS        1992Me07            ZP A341 475 (92)
81 Tl 192   0+x       10.8 m   7+       +0.516(4)     CFBLS        1987Bo44            PR C36 2560 (87)

81 Tl 193   0         21.6 m   1/2(+)   +1.585(3)     CFBLS        1987Bo44            PR C36 2560 (87)
81 Tl 193   365+x   2.11 m    (9/2-)   +3.82(2)      RIS          2012Ba32            PR C86 014311 (12)

81 Tl 194   0         33.0 m   2-       +0.139(3)     CFBLS        1992Me07            ZP A341 475 (92)
81 Tl 194   0+x       32.8 m   (7+)     +0.538(5)     CFBLS        1987Bo44            PR C36 2560 (87)

81 Tl 195   0         1.16 h   1/2+     +1.57(4)      O            1969Go21            PR 188 1897 (69)
81 Tl 195   483       3.6 s    9/2-     +3.87(4)      RIS          2012Ba32            PR C86 014311 (12)

81 Tl 196   0         1.84 h   2-       +0.072(3)     CFBLS        1992Me07            ZP A341 475 (92)
81 Tl 196   394       1.41 h   (7+)     +0.547(8)     CFBLS        1992Me07            ZP A341 475 (92)

81 Tl 197   0         2.84 h   1/2+     +1.57(2)      O            1966Da15            JOSA 56 1604 (66)
81 Tl 197   216       0.54 s   9/2-     +4.03(6)      RIS          2012Ba32            PR C86 014311 (12)

81 Tl 198   0         5.3 h    2-       0.00(1)       AB           1976Ek03/1984Be40   HFI 1 437 (76)/PS 30 164 (84)
81 Tl 198   544       1.87 h   7+       +0.639(10)    AB           1983Bu04            NP A395 182 (83)

81 Tl 199   0         7.42 h   1/2+     +1.59(2)      O            1961Hu04            JOSA 51 1203 (61)

81 Tl 200   0         26.1 h   2-       0.04(1)       AB           1976Ek03/1984Be40   HFI 1 437 (76)/PS 30 164 (84)

81 Tl 201   0         3.04 d   1/2+     +1.599(3)     CFBLS        1987Bo44            PR C36 2560 (87)




38
81 Tl 202   0      12.3 d       2-        0.06(1)       AB           1976Ek03/1984Be40   HFI 1 437 (76)/PS 30 164 (84)

81 Tl 203   0      stable       1/2+      +1.616(2)     N            1963Ba23/1950Pr51   RSI 34 238 (63)/PR 79 35 (50)

81 Tl 204   0      3.78 y       2-        0.09(1)       AB           1976Ek03            HFI 1 437 (76)

81 Tl 205   0      stable       1/2+      +1.632(2)     N            1963Ba23/1950Pr51   RSI 34 238 (63)/PR 79 35 (50)

81 Tl 207   0      4.77 m       1/2+      +1.869(5)     CFBLS        1985Ne06            PRL 55 1559 (85)

81 Tl 208   0      3.05 m       5+        +0.291(13)    LRSRD        1992La03            PRL 68 1675 (92)

82 Pb 183   0      0.53 s       3/2-      -1.154(5)     LRIS         2009Se13            Eur Phys J A41 315 (09)
82 Pb 183   97     0.41 s       13/2+     -1.241(6)     LRIS         2009Se13            Eur Phys J A41 315 (09)

82 Pb 185   0      6.3 s        3/2-      -1.137(5)     LRIS         2009Se13            Eur Phys J A41 315 (09)
82 Pb 185   0+x    4.3 s        13/2+     -1.23(1)      LRIS         2009Se13            Eur Phys J A41 315 (09)

82 Pb 187   0      15.2 s       3/2-      -1.122(3)     LRIS         2009Se13            Eur Phys J A41 315 (09)
82 Pb 187   33     18.3 s       13/2+     -1.206(5)     LRIS         2009Se13            Eur Phys J A41 315 (09)

82 Pb 189   0      39 s         3/2-      -1.077(9)     LRIS         2009Se13            Eur J Phys A41 315 (09)
82 Pb 189   0+x    50 s         13/2+     -1.19(1)      LRIS         2009Se13            Eur J Phys A41 315 (09)

82 Pb 191   -      2.18 m       13/2+     -1.167(7)     CFBLS        1991Du07            ZP A341 39 (91)

82 Pb 193   0+x    5.8 m        (13/2+)   -1.146(7)     CFBLS        1991Du07            ZP A341 39 (91)

82 Pb 195   203    15.0 m       13/2+     -1.124(7)     CFBLS        1991Du07            ZP A341 39 (91)

82 Pb 197   0      8.1 m        3/2-      -1.0718(23)   ABLFS        1986An06            NP A451 471 (86)
82 Pb 197   319    42.9 m       13/2+     -1.1009(27)   ABLFS        1986An06            NP A451 471 (86)

82 Pb 199   0      1.5 h        3/2-      -1.0707(14)   ABLFS        1986An06            NP A451 471 (86)

82 Pb 201   0      9.33 h       5/2-      +0.6731(6)    ABLFS        1986An06            NP A451 471 (86)

82 Pb 202   2170   3.62 h       9-        -0.22689(7)    ABLFS        1986An06            NP A451 471 (86)

82 Pb 203   0      51.9 h       5/2-      +0.6841(6)    ABLFS        1986An06            NP A451 471 (86)

82 Pb 205   0      1.73x107 y   5/2-      +0.7094(6)    ABLFS        1986An06            NP A451 471 (86)

82 Pb 207   0      stable       1/2-      +0.5906(4)    NMR          2016Ad43            Phys Chem Chem Phys 18 16483 (2016)

82 Pb 209   0      3.23 h       9/2+      -1.4686(19)   ABLFS        1986An06            NP A451 471 (86)

82 Pb 211   0      36.1 m       9/2+      -1.3991(12)   ABLFS        1986An06            NP A451 471 (86)

83 Bi 189   0      688 ms       (9/2-)    3.7(3)        ISLS         2017Ba12            PR C95 044324 (2017)

83 Bi 190   0+x    6.3 s        (3+)      3.85(9)       ISLS         2017Ba12            PR C95 044324 (2017)
83 Bi 190   0+y    6.2 s        (10-)     2.39(12)      ISLS         2017Ba12            PR C95 044324 (2017)

83 Bi 191   0      12.4 s       (9/2-)    3.66(5)       ISLS         2017Ba12            PR C95 044324 (2017)

